"iso3c","year","source","generation"
"ARG",2003,"nuclear",7566.29
"ARG",2003,"oil",3277.06
"ARG",2003,"solar",0.07
"ARG",2003,"wind",77.95
"ARG",2004,"bioenergy",1274
"ARG",2004,"coal",887
"ARG",2004,"gas",54936
"ARG",2004,"hydro",30018.77
"ARG",2004,"nuclear",7868.6
"ARG",2004,"oil",5522.36
"ARG",2004,"solar",0.07
"ARG",2004,"wind",72.44
"ARG",2005,"bioenergy",1383
"ARG",2005,"coal",1532
"ARG",2005,"gas",56122
"ARG",2005,"hydro",34192.29
"ARG",2005,"nuclear",6873.3
"ARG",2005,"oil",7557.2
"ARG",2005,"solar",0.08
"ARG",2005,"wind",75.38
"ARG",2006,"bioenergy",1749
"ARG",2006,"coal",1359
"ARG",2006,"gas",57123
"ARG",2006,"hydro",38056.37
"ARG",2006,"nuclear",7690.91
"ARG",2006,"oil",9640.79
"ARG",2006,"solar",0.09
"ARG",2006,"wind",69.64
"ARG",2007,"bioenergy",1673
"ARG",2007,"coal",1468
"ARG",2007,"gas",59779
"ARG",2007,"hydro",31560.24
"ARG",2007,"nuclear",7217.23
"ARG",2007,"oil",13374.48
"ARG",2007,"solar",0.11
"ARG",2007,"wind",61.59
"ARG",2008,"bioenergy",1067.36
"ARG",2008,"coal",1969
"ARG",2008,"gas",65854
"ARG",2008,"hydro",31456.35
"ARG",2008,"nuclear",7330.39
"ARG",2008,"oil",13298.07
"ARG",2008,"solar",0.14
"ARG",2008,"wind",41.95
"ARG",2009,"bioenergy",1222.54
"ARG",2009,"coal",1721
"ARG",2009,"gas",65121
"ARG",2009,"hydro",35092.92
"ARG",2009,"nuclear",8161.67
"ARG",2009,"oil",10590.4
"ARG",2009,"solar",0.08
"ARG",2009,"wind",36.83
"ARG",2010,"bioenergy",1424.98
"ARG",2010,"coal",1947
"ARG",2010,"gas",64470
"ARG",2010,"hydro",33825.84
"ARG",2010,"nuclear",7170.89
"ARG",2010,"oil",16838.9
"ARG",2010,"solar",0.09
"ARG",2010,"wind",25.35
"ARG",2011,"bioenergy",1454.69
"ARG",2011,"coal",2484
"ARG",2011,"gas",67409
"ARG",2011,"hydro",31843.25
"ARG",2011,"nuclear",6370.9
"ARG",2011,"oil",19643.12
"ARG",2011,"solar",1.61
"ARG",2011,"wind",59
"ARG",2012,"bioenergy",1576.28
"ARG",2012,"coal",2397
"ARG",2012,"gas",75132
"ARG",2012,"hydro",29657.87
"ARG",2012,"nuclear",6395.16
"ARG",2012,"oil",19762.26
"ARG",2012,"solar",8.17
"ARG",2012,"wind",822
"ARG",2013,"bioenergy",1704.63
"ARG",2013,"coal",2062
"ARG",2013,"gas",74896
"ARG",2013,"hydro",33368.75
"ARG",2013,"nuclear",6206.9
"ARG",2013,"oil",20252.46
"ARG",2013,"solar",15.09
"ARG",2013,"wind",1007
"ARG",2014,"bioenergy",1173.36
"ARG",2014,"coal",2405
"ARG",2014,"gas",76573
"ARG",2014,"hydro",33098.48
"ARG",2014,"nuclear",5513.94
"ARG",2014,"oil",18627.11
"ARG",2014,"solar",15.94
"ARG",2014,"wind",619.09
"ARG",2015,"bioenergy",1232.29
"ARG",2015,"coal",2330
"ARG",2015,"gas",78770
"ARG",2015,"hydro",34796.65
"ARG",2015,"nuclear",7038.88
"ARG",2015,"oil",21975.64
"ARG",2015,"solar",14.82
"ARG",2015,"wind",593
"ARG",2016,"bioenergy",1532.29
"ARG",2016,"coal",1745
"ARG",2016,"gas",83847
"ARG",2016,"hydro",30132.39
"ARG",2016,"nuclear",8284.7
"ARG",2016,"oil",20624.34
"ARG",2016,"solar",14.54
"ARG",2016,"wind",548
"ARG",2017,"bioenergy",1852.84
"ARG",2017,"coal",1568.25
"ARG",2017,"gas",91635.85
"ARG",2017,"hydro",39589.33
"ARG",2017,"nuclear",5716.3
"ARG",2017,"oil",11450.79
"ARG",2017,"solar",16.14
"ARG",2017,"wind",611.68
"ARG",2018,"bioenergy",1783.75
"ARG",2018,"coal",1577.12
"ARG",2018,"gas",95572.35
"ARG",2018,"hydro",39957.33
"ARG",2018,"nuclear",6453
"ARG",2018,"oil",6595.21
"ARG",2018,"solar",108.14
"ARG",2018,"wind",1413
