Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Qatar,CAIT,Electricity/Heat,All GHG,MtCO₂e,55.14,53.7,53.01,51.88,51.15,49.45,48.04,47.32,44.47,36.31,30.25,28.1,27.19,24.81,20.8,18.9,17.95,16.03,14.8,13.84,16.04,13.81,12.8,11.62,11.05,10.54,9.96,9.35,8.94,7.75
Czech Republic,CAIT,Electricity/Heat,All GHG,MtCO₂e,52.39,56.23,56.8,58.33,56.83,56.57,59.04,62.92,65.39,66.74,63.12,68.35,73.12,67.86,67.92,69.83,69.72,68.86,70.42,69.95,63.26,67.81,71.01,71.61,69.12,65.24,65.45,64.65,66.58,67.92
Algeria,CAIT,Electricity/Heat,All GHG,MtCO₂e,50.09,48.61,48.14,47.92,49.82,47.91,43.01,43.51,39.35,36.48,36.71,35.32,33.99,34.28,32.64,31.78,32.57,32.32,30.23,29.2,29.35,27.8,27.74,25.77,25.9,24.98,25.31,24.09,24.11,23.13
Pakistan,CAIT,Electricity/Heat,All GHG,MtCO₂e,48.62,46.77,56.08,49.51,45.26,45.07,44.66,41.58,40.28,41.45,45.53,43.33,43.48,42.61,37.49,35.89,31.69,35.36,35.5,34.53,33.09,28.51,29.68,27.46,26.7,23.5,22.55,20.4,17.72,16.05
Venezuela,CAIT,Electricity/Heat,All GHG,MtCO₂e,47.58,57.4,63.1,66.07,69.98,65.83,64.12,63.14,58.71,64.33,66.15,66.74,61.46,60.39,59.6,59.85,59.44,60.0,58.61,56.81,51.63,50.3,49.65,43.16,39.23,37.9,37.41,36.72,32.99,36.53
Chile,CAIT,Electricity/Heat,All GHG,MtCO₂e,40.05,35.52,37.03,37.63,35.77,32.9,38.95,37.41,32.64,27.59,27.13,29.0,26.5,20.97,20.93,20.96,17.25,15.84,14.73,16.63,21.28,18.72,15.85,13.99,10.14,9.27,7.21,7.12,8.38,10.66
Bangladesh,CAIT,Electricity/Heat,All GHG,MtCO₂e,39.54,38.93,37.1,36.31,33.66,32.94,31.11,28.28,25.75,24.28,21.43,19.79,18.11,17.03,14.79,13.66,11.6,11.53,10.74,9.02,8.81,7.82,7.18,6.73,6.73,6.1,5.8,5.21,4.6,4.46
Israel,CAIT,Electricity/Heat,All GHG,MtCO₂e,36.55,35.7,39.36,39.96,40.98,40.24,43.07,51.23,46.24,44.22,41.23,43.63,44.5,42.91,40.61,41.15,41.24,40.47,37.48,36.19,33.31,32.43,31.27,29.04,27.46,26.18,24.49,22.97,20.2,19.85
Serbia,CAIT,Electricity/Heat,All GHG,MtCO₂e,32.49,32.44,33.97,33.37,33.19,26.53,33.22,31.65,34.79,31.63,32.43,30.66,31.4,35.01,33.15,35.92,34.83,33.28,31.76,32.22,28.6,38.23,38.58,35.6,36.57,28.92,31.62,34.36,36.03,40.59
Belarus,CAIT,Electricity/Heat,All GHG,MtCO₂e,32.07,33.27,31.02,30.88,31.3,32.98,32.85,33.24,33.51,37.38,34.6,35.9,34.92,36.83,36.14,36.79,34.09,34.02,34.41,34.39,35.18,36.06,38.03,36.46,36.78,42.38,46.36,54.8,58.9,62.39
